cartodb_id,the_geom,notes,setting,episode,country,location,image,cartodb_georef_status
1,0101000020E610000071E6577380A02440143FC6DCB58C4040,[1],Tatooine: Mos Espa slave quarters,I,Tunisia,"Ksar Hadada, Ghoumrassen",http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Ksar_Hadadda.JPG/75px-Ksar_Hadadda.JPG,true
2,0101000020E6100000D50B99863C092540C6C4E6E3DA644040,30 km south of Tataouine[1],Tatooine: Mos Espa slave quarters,I,Tunisia,Ksar Ouled Soltane,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Ksar_Ouled_Soltane_01.jpg/75px-Ksar_Ouled_Soltane_01.jpg,true
14,0101000020E6100000FB3F87F9F2821F407233DC80CFEF4040,Sand dunes west of Nefta used to film the landing area of the escape pod of C-3PO and R2-D2[1][13][14],Tatooine desert,IV,Tunisia,"La Grande Dune, near Nefta",http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Tunisiadesert.jpg/75px-Tunisiadesert.jpg,true
8,0101000020E610000072E1404816F023407EE36BCF2CC54040,Used for courtyard shots and Lars dinner scene. The homestead also featured in Attack of the Clones[1][7],Tatooine: Lars Homestead,"II, IV",Tunisia,Matmata,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Hotel-sididriss.jpg/75px-Hotel-sididriss.jpg,true
11,0101000020E6100000D28C45D3D989304046D3D9C9E0544440,"The volcano erupted during filming of Episode III and Lucasfilm sent camera crews to shoot several angles of the eruption; footage was later composited into the background of the scenes set on Mustafar including the lightsaber duel of Obi-Wan Kenobi and Anakin Skywalker.[10][11]",Mustafar,III,Italy,Mount Etna,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Etnajmax20.jpg/75px-Etnajmax20.jpg,true
3,0101000020E610000017B7D100DE4220400B0C59DDEAF54040,"Location of the lightsaber duel between Qui-Gonn Jinn & Darth Maul; Mos Espa[1]",Tatooine desert,I,Tunisia,"Onk Jemal, Tozeur",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Decorado_Star_Wars_en_T%C3%BAnez_4.jpg/75px-Decorado_Star_Wars_en_T%C3%BAnez_4.jpg,true
4,0101000020E6100000E96514CB2D5D2A40680586AC6E114340,[2],Naboo Royal Palace,"I, II",Italy,Palace of Caserta,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/ReggiadiCasertaOberesVestibuel01.jpg/75px-ReggiadiCasertaOberesVestibuel01.jpg,true
9,0101000020E6100000D769A4A5F29858407233DC80CF8F1F40,Aerial footage of limestone karst mountains which was later composited into the film for the approach over the Battle of Kashyyyk [8],Kashyyyk,III,Thailand,"Phang Nga Bay, near Phuket",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Phang_Nga_Bay.jpg/75px-Phang_Nga_Bay.jpg,true
6,0101000020E6100000E0DBF4673FF217C0D5B2B5BE48B04240,[5],Naboo: City of Theed,II,Spain,Plaza de España in Seville,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Espagne_S%C3%A9ville_Place_d%27Espagne.JPG/75px-Espagne_S%C3%A9ville_Place_d%27Espagne.JPG,true
19,0101000020E6100000B745990D328920406FBBD05CA7014140,"Several Tatooine scenes:[13][19]  Canyon where R2D2 is abducted by Jawas (spliced with footage shot at Death Valley, USA) Canyon where Tusken Raiders attack Luke Skywalker (spliced with Death Valley footage) Scene of wrecked Sandcrawler after attack by Imperial stormtroopers Also features in The Phantom Menace.[1]",Tatooine canyon,IV,Tunisia,"Shubiel Gorge, Sidi Bouhlel (or Sidi Bou Helal), near Tozeur",http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Sidi_Bouhlel_2.jpg/75px-Sidi_Bouhlel_2.jpg,true
21,0101000020E61000001DACFF7398375DC0CA6C9049463A4240,"Two Tatooine scenes:  C-3P0 and R2D2 walk up to the Palace of Jabba the Hutt on Tatooine. ""Lost scene"" of Luke Skywalker working on a new lightsaber in a cave overlooking the Millennium Falcon and his X-wing, followed by R2D2 and C3PO starting their trek to Jabba's palace.",Tatooine: Road to Jabba's Palace,VI,USA,"Twenty-Mule Team Canyon, Death Valley, California",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Twenty-Mule_Team_Canyon.jpg/75px-Twenty-Mule_Team_Canyon.jpg,true
7,0101000020E61000003D4BEBCAC28E2640F6402B3064294740,Used for Anakin and Padmé's wedding scene overlooking Lake Como [6],Naboo lakeside,II,Italy,Villa del Balbianello,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/05VillaBalbianello.jpg/75px-05VillaBalbianello.jpg,true
5,0101000020E61000005305A3923A01D9BFC85EEFFE78D34940,First meeting of Qui-Gon Jinn and Obi-Wan Kenobi with Jar Jar Binks.[3][4],Naboo forest scene,I,UK,"Whippendell Woods, Cassiobury Park, Watford",http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Glade_in_Whippendell_Wood_-_geograph.org.uk_-_1763434.jpg/75px-Glade_in_Whippendell_Wood_-_geograph.org.uk_-_1763434.jpg,true
